EVTYPE,NWS.Event.Type
FLOOD,FLOOD
HURRICANE/TYPHOON,HURRICANE (TYPHOON)
TORNADO,TORNADO
STORM SURGE,STORM SURGE/TIDE
HAIL,HAIL
FLASH FLOOD,FLASH FLOOD
DROUGHT,DROUGHT
HURRICANE,HURRICANE (TYPHOON)
RIVER FLOOD,FLOOD
ICE STORM,ICE STORM
TROPICAL STORM,TROPICAL STORM
WINTER STORM,WINTER STORM
HIGH WIND,HIGH WIND
WILDFIRE,WILDFIRE
TSTM WIND,THUNDERSTORM WIND
STORM SURGE/TIDE,STORM SURGE/TIDE
THUNDERSTORM WIND,THUNDERSTORM WIND
HURRICANE OPAL,HURRICANE (TYPHOON)
WILD/FOREST FIRE,WILDFIRE
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
THUNDERSTORM WINDS,THUNDERSTORM WIND
"TORNADOES, TSTM WIND, HAIL",TORNADO
HEAVY RAIN,HEAVY RAIN
EXTREME COLD,EXTREME COLD/WIND CHILL
SEVERE THUNDERSTORM,THUNDERSTORM WIND
FROST/FREEZE,FROST/FREEZE
HEAVY SNOW,HEAVY SNOW
LIGHTNING,LIGHTNING
BLIZZARD,BLIZZARD
HIGH WINDS,HIGH WIND
WILD FIRES,WILDFIRE
TYPHOON,HURRICANE (TYPHOON)
EXCESSIVE HEAT,EXCESSIVE HEAT
FREEZE,FROST/FREEZE
HEAT,HEAT
HURRICANE ERIN,HURRICANE (TYPHOON)
LANDSLIDE,DEBRIS FLOW
FLASH FLOODING,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
DAMAGING FREEZE,FROST/FREEZE
FLOOD/FLASH FLOOD,FLASH FLOOD
HAILSTORM,HAIL
STRONG WIND,STRONG WIND
COASTAL FLOOD,COASTAL FLOOD
TSUNAMI,TSUNAMI
EXCESSIVE WETNESS,HEAVY RAIN
River Flooding,FLOOD
COASTAL FLOODING,COASTAL FLOOD
FLOODING,FLOOD
HIGH WINDS/COLD,HIGH WIND
FLOOD/RAIN/WINDS,FLOOD
HURRICANE OPAL/HIGH WINDS,HURRICANE (TYPHOON)
TSTM WIND/HAIL,THUNDERSTORM WIND
MAJOR FLOOD,FLOOD
WILDFIRES,WILDFIRE
HIGH SURF,HIGH SURF
HEAVY RAINS,HEAVY RAIN
URBAN/SML STREAM FLD,FLOOD
FROST,FROST/FREEZE
COLD AND WET CONDITIONS,COLD/WIND CHILL
WINTER STORM HIGH WINDS,WINTER STORM
RECORD COLD,EXTREME COLD/WIND CHILL
WATERSPOUT/TORNADO,WATERSPOUT
HURRICANE EMILY,HURRICANE (TYPHOON)
Early Frost,FROST/FREEZE
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
WINTER WEATHER,WINTER WEATHER
Damaging Freeze,FROST/FREEZE
SEVERE THUNDERSTORM WINDS,THUNDERSTORM WIND
AGRICULTURAL FREEZE,FROST/FREEZE
UNSEASONABLY COLD,COLD/WIND CHILL
Coastal Flood,COASTAL FLOOD
SMALL HAIL,HAIL
TROPICAL STORM JERRY,TROPICAL STORM
